offer_id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,Data,Data_social,Min,Min_Flex,IDD,Dial,Owner,ui_product_id,ui_msg_id,atl_btl_channel,whitelist,action_family,target_intents,expected_lift_percent,offer_rationale,offer_name,offer_type,campaign_intent,benefit,validity_days,eligible_usage_segment,eligible_rfm_segment,estimated_arpu_lift,estimated_data_lift_gb,estimated_save_rate,cost_per_user,margin_impact,description
USG_1121350,Hayyak Voice,USG_1121350,Hayyak Voice Only,7,NV,0,28,Master,"999,999",0,0,0,999999,0,0,,Omantel,"8,045",750,ATL,yes,cross_sell|retention|bundle,cross_sell,10.7,"NV bundle, 7.0 OR for 28.0 days",Hayyak Voice Only,nv,cross_sell,999999 minutes,28,Zero|low|medium,Loyal Customers|Potential Loyalist|Champions,8.99,0.0,0.075,4.2,neutral,"Hayyak Voice — Hayyak Voice Only: 999999 minutes. NV bundle, 7.0 OR for 28.0 days."
USG_1170790,Hayyak Plus,USG_1170790,Hayyak Plus 4,4,COMBO,"2,560",28,Master,50,0,2.5,0,50,0,0,,Omantel,"7,736","1,343",ATL,yes,bundle|cross_sell|light_nbo,reduce_churn|recommend_best_campaign,7.4,"COMBO bundle, 4.0 OR for 28.0 days",Hayyak Plus 4,combo,reduce_churn,"2GB data, 50 minutes",28,low|medium,Loyal Customers|Potential Loyalist|Champions,3.55,0.75,0.036,2.4,positive,"Hayyak Plus — Hayyak Plus 4: 2GB data, 50 minutes. COMBO bundle, 4.0 OR for 28.0 days."
7842,Combo BTL Monthly,7842,RO1 - 1GB and 30 Minutes,1,COMBO,"1,024",28,Addon,30,0,1,0,30,0,0,,Omantel,"7,842","2,553",BTL,yes,bundle|cross_sell|light_nbo,reduce_churn|recommend_best_campaign,4.1,"COMBO bundle, 1.0 OR for 28.0 days",RO1 - 1GB and 30 Minutes,combo,reduce_churn,"1GB data, 30 minutes",28,low|medium,Loyal Customers|Potential Loyalist|Champions,0.49,0.3,0.024,0.6,positive,"Combo BTL Monthly — RO1 - 1GB and 30 Minutes: 1GB data, 30 minutes. COMBO bundle, 1.0 OR for 28.0 days."
8858,Combo BTL Monthly,8858,NBE_Prepaid_RO6_15GB_300MIN_28D,6,COMBO,"15,360",28,,300,0,15,0,300,[NULL],[NULL],*171*806#,Omantel,"8,858","2,683",BTL,yes,upsell|bundle|cross_sell,increase_arpu|upsell,9.6,"COMBO bundle, 6.0 OR for 28.0 days",NBE_Prepaid_RO6_15GB_300MIN_28D,combo,increase_arpu,"15GB data, 300 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,6.91,4.5,0.0,3.6,positive,"Combo BTL Monthly — NBE_Prepaid_RO6_15GB_300MIN_28D: 15GB data, 300 minutes. COMBO bundle, 6.0 OR for 28.0 days."
USG_1121410,UAE IDD,USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,IDD,0,30,Addon,"1,500",0,0,0,0,0,"1,500",,Omantel,"8,056",796,ATL,yes,cross_sell|premium_bundle,cross_sell,5.9,"IDD bundle, 5.0 OR for 30.0 days",UAE - 1500 Minutes - Monthly Pack,idd,cross_sell,1500 minutes,30,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,3.54,0.0,0.0,3.0,positive,"UAE IDD — UAE - 1500 Minutes - Monthly Pack: 1500 minutes. IDD bundle, 5.0 OR for 30.0 days."
USG_1120560,Marhaba World,USG_1120560,Marhaba World 12Minutes to KENYA,1,IDD,0,7,Addon,12,0,0,0,0,0,12,,Omantel,"8,032",766,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",Marhaba World 12Minutes to KENYA,idd,cross_sell,12 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"Marhaba World — Marhaba World 12Minutes to KENYA: 12 minutes. IDD bundle, 1.0 OR for 7.0 days."
7866,Hayyak BTL,7866,Monthly 18GB and 250 Flexi minutes,10,COMBO,"18,432",28,Addon,250,0,18,0,250,0,0,*171*829#,Omantel,"7,866","2,574",BTL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,15.4,"COMBO bundle, 10.0 OR for 28.0 days",Monthly 18GB and 250 Flexi minutes,combo,increase_arpu,"18GB data, 250 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,18.48,5.4,0.0,6.0,positive,"Hayyak BTL — Monthly 18GB and 250 Flexi minutes: 18GB data, 250 minutes. COMBO bundle, 10.0 OR for 28.0 days."
USG_1170550,Jawazak,USG_1170550,Jawazak In-Flight,5,ROAMING,"10,000,000.00",1,Addon,0,0,999999,0,0,0,0,,Omantel,"8,030",764,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,5.9,"ROAMING bundle, 5.0 OR for 1.0 days",Jawazak In-Flight,roaming,cross_sell,9765GB data,1,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,3.54,2929.69,0.0,3.0,positive,"Jawazak — Jawazak In-Flight: 9765GB data. ROAMING bundle, 5.0 OR for 1.0 days."
USG_1141560,Monthly Data,USG_1141560,Monthly 500 MB Auto Renewal Plan,1,DATA,512,30,Addon,0,0,0.5,0,0,0,0,,Omantel,"7,838",740,ATL,yes,light_nbo|gentle_nbo|reactivation,increase_data_usage|reactivate_inactive,4.1,"DATA bundle, 1.0 OR for 30.0 days",Monthly 500 MB Auto Renewal Plan,data,increase_data_usage,512MB data,30,low|medium|high,Loyal Customers|Potential Loyalist|Champions,0.49,0.15,0.024,0.6,neutral,"Monthly Data — Monthly 500 MB Auto Renewal Plan: 512MB data. DATA bundle, 1.0 OR for 30.0 days."
USG_1150100,Hayyak Talk,USG_1150100,Hayyak Talk 3 OR,3,NV,0,15,Addon,0,0,0,0,0,0,0,,Omantel,"8,028",762,ATL,yes,cross_sell|retention|bundle,cross_sell,6.3,"NV bundle, 3.0 OR for 15.0 days",Hayyak Talk 3 OR,nv,cross_sell,Hayyak Talk 3 OR,15,Zero|low|medium,Loyal Customers|Potential Loyalist|Champions,2.27,0.0,0.055,1.8,neutral,"Hayyak Talk — Hayyak Talk 3 OR: Hayyak Talk 3 OR. NV bundle, 3.0 OR for 15.0 days."
